name,out_csig,out_cbak,out_covl,out_pesq,out_stoi,out_sisnr
out_wav/chime_HybridNBF_chime_stage2_retrain/765_sir-5.96dB_tgt.wav,3.3038879667882575,2.66697437716543,2.569360648958232,1.8771213293075562,0.8459531448761,-12.919527900998446
out_wav/chime_HybridNBF_chime_stage2_retrain/2024_sir-3.07dB_tgt.wav,3.906422964908906,3.0161179608539106,3.1487453022894596,2.428180456161499,0.8319591788848465,-15.661813856864121
out_wav/chime_HybridNBF_chime_stage2_retrain/1496_sir-3.81dB_tgt.wav,4.1945572239703965,3.2742521770550823,3.454289046409276,2.707197904586792,0.9092583457793463,-16.465991463072104
out_wav/chime_HybridNBF_chime_stage2_retrain/584_sir1.01dB_tgt.wav,5,4.176010548120029,4.470085897728293,3.778008460998535,0.9822070134230775,-22.938143150845125
out_wav/chime_HybridNBF_chime_stage2_retrain/2029_sir-4.90dB_tgt.wav,3.9051925011094957,3.078917575560735,3.1659271519042367,2.447819948196411,0.9186487327622453,-15.621881230760803
out_wav/chime_HybridNBF_chime_stage2_retrain/406_sir-2.98dB_tgt.wav,3.974029765306543,3.2382503221487795,3.2694661476568396,2.5599782466888428,0.9367650452940721,-16.37482016038278
out_wav/chime_HybridNBF_chime_stage2_retrain/1338_sir-4.49dB_tgt.wav,4.160302241416839,3.334715358552091,3.4204313312023293,2.6605067253112793,0.9467216789506036,-14.411648024974415
out_wav/chime_HybridNBF_chime_stage2_retrain/1458_sir-0.14dB_tgt.wav,4.629456329070007,3.7343277348294843,3.9205111594175115,3.176490068435669,0.9457677462823514,-17.14521592896332
out_wav/chime_HybridNBF_chime_stage2_retrain/30_sir3.04dB_tgt.wav,4.653840359359665,3.9089901314852344,4.033875079803753,3.374206066131592,0.9503552406125201,-19.309130654057622
out_wav/chime_HybridNBF_chime_stage2_retrain/470_sir-3.40dB_tgt.wav,3.9094490039818264,3.32149011231373,3.21167373098609,2.4919703006744385,0.9022648351140788,-14.507384322852886
out_wav/chime_HybridNBF_chime_stage2_retrain/1640_sir-3.43dB_tgt.wav,4.033088665674791,3.0202912900849688,3.238562832456459,2.444559097290039,0.9397427901228765,-14.660698150598762
out_wav/chime_HybridNBF_chime_stage2_retrain/658_sir3.67dB_tgt.wav,4.919921596292407,4.0924266725828,4.2453807164045685,3.514508008956909,0.9595357968924801,-20.08414880772131
out_wav/chime_HybridNBF_chime_stage2_retrain/166_sir-2.60dB_tgt.wav,4.360389258478315,3.4654055675995608,3.684940568768274,2.997349977493286,0.9535081873897622,-15.618188767147782
out_wav/chime_HybridNBF_chime_stage2_retrain/2225_sir-2.58dB_tgt.wav,3.954023687264742,2.926646218849063,3.0295816578467636,2.120993137359619,0.8219094755471389,-13.526148819866659
out_wav/chime_HybridNBF_chime_stage2_retrain/885_sir1.38dB_tgt.wav,4.619200273437798,3.951212196739001,4.060244180954662,3.4662768840789795,0.9682149822740895,-22.332690236366638
out_wav/chime_HybridNBF_chime_stage2_retrain/1374_sir-3.63dB_tgt.wav,3.0536654495949653,2.6451656700595843,2.446476492776758,1.8956093788146973,0.8477402757348868,-14.524013160940791
out_wav/chime_HybridNBF_chime_stage2_retrain/2442_sir-1.97dB_tgt.wav,4.366246066086684,3.3509952752471324,3.678188036221306,3.0087730884552,0.9295034900081831,-17.580621213156835
out_wav/chime_HybridNBF_chime_stage2_retrain/1160_sir1.12dB_tgt.wav,4.50369498777527,3.5797306008924443,3.792019286600493,3.0597927570343018,0.943304537880347,-17.51063814109351
out_wav/chime_HybridNBF_chime_stage2_retrain/1294_sir0.92dB_tgt.wav,4.269007167930415,3.418348238279915,3.6131680062175984,2.9637129306793213,0.9572420518721999,-18.830069415498624
out_wav/chime_HybridNBF_chime_stage2_retrain/385_sir0.24dB_tgt.wav,4.6895809260560775,3.841955710661136,4.027881006426017,3.336137533187866,0.9534140371461005,-18.116570710808887
out_wav/chime_HybridNBF_chime_stage2_retrain/1229_sir-3.88dB_tgt.wav,3.1452395738552883,2.4052338421626285,2.3888343218580013,1.7242379188537598,0.9071584072423664,-15.801525188495907
out_wav/chime_HybridNBF_chime_stage2_retrain/1631_sir-3.19dB_tgt.wav,4.029114455625118,3.2586549819180695,3.418955628767379,2.8285632133483887,0.9509083619266936,-18.504157262642668
out_wav/chime_HybridNBF_chime_stage2_retrain/385_sir2.05dB_tgt.wav,4.756775097566532,3.975447808207854,4.1445003993349845,3.497474431991577,0.9683294923444679,-20.79187306561972
out_wav/chime_HybridNBF_chime_stage2_retrain/1478_sir0.65dB_tgt.wav,5,4.411167342158122,4.5807054949741195,3.9599411487579346,0.9866263634210877,-21.803755682709284
out_wav/chime_HybridNBF_chime_stage2_retrain/1020_sir1.66dB_tgt.wav,5,4.314459602022378,4.734559032147087,4.051517486572266,0.962713168358495,-19.938254727601844
out_wav/chime_HybridNBF_chime_stage2_retrain/773_sir-1.79dB_tgt.wav,4.103437527688893,3.3396041181124243,3.4215855809933466,2.7524290084838867,0.9455241692722615,-18.95673335879653
out_wav/chime_HybridNBF_chime_stage2_retrain/1672_sir0.95dB_tgt.wav,4.34803166320163,3.5087561417948496,3.697331516733508,3.0519986152648926,0.9308514613250084,-19.151497553595945
out_wav/chime_HybridNBF_chime_stage2_retrain/480_sir-3.09dB_tgt.wav,4.187253266511576,3.356538363538631,3.563198473991897,2.9546847343444824,0.9620241168610855,-18.817177578109238
out_wav/chime_HybridNBF_chime_stage2_retrain/342_sir2.48dB_tgt.wav,4.508700227854077,3.6823738004960394,3.8813202052427638,3.2274861335754395,0.9674376798959745,-18.890876506195113
